Site,Tree,Range,Fire history,Species richness
sc3,F1,santa.catalina,burned,9
sc4,F10,santa.catalina,burned,6
p3,F11,pinaleno,burned,6
p3,F12,pinaleno,burned,7
p3,F13,pinaleno,burned,11
p3,F14,pinaleno,burned,6
p3,F15,pinaleno,burned,10
p4,F16,pinaleno,burned,7
p4,F17,pinaleno,burned,6
p4,F18,pinaleno,burned,10
p4,F19,pinaleno,burned,6
sc3,F2,santa.catalina,burned,8
p4,F20,pinaleno,burned,7
sc3,F3,santa.catalina,burned,10
sc3,F4,santa.catalina,burned,10
sc3,F5,santa.catalina,burned,10
sc4,F6,santa.catalina,burned,6
sc4,F7,santa.catalina,burned,7
sc4,F8,santa.catalina,burned,6
sc4,F9,santa.catalina,burned,5
sc1,LB019,santa.catalina,unburned,4
sc1,LB020,santa.catalina,unburned,6
sc1,LB021,santa.catalina,unburned,3
sc1,LB023,santa.catalina,unburned,8
sc1,LB024,santa.catalina,unburned,5
sc2,LB055,santa.catalina,unburned,8
sc2,LB056,santa.catalina,unburned,6
sc2,LB057,santa.catalina,unburned,6
sc2,LB058,santa.catalina,unburned,9
sc2,LB059,santa.catalina,unburned,8
sc2,LB060,santa.catalina,unburned,5
p1,NF11,pinaleno,unburned,8
p1,NF12,pinaleno,unburned,5
p1,NF13,pinaleno,unburned,6
p1,NF14,pinaleno,unburned,8
p1,NF15,pinaleno,unburned,7
p2,NF16,pinaleno,unburned,3
p2,NF17,pinaleno,unburned,7
p2,NF18,pinaleno,unburned,6
p2,NF19,pinaleno,unburned,2
p2,NF20,pinaleno,unburned,8
